op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_COSH,bf16,kernel,[[65536]],0.007808,0.004154,1.8796
CUTENSOR_OP_COSH,bf16,kernel,[[131072]],0.008404,0.004558,1.8439
CUTENSOR_OP_COSH,bf16,kernel,[[262144]],0.010231,0.005712,1.7912
CUTENSOR_OP_COSH,bf16,kernel,[[524288]],0.013250,0.008038,1.6483
CUTENSOR_OP_COSH,bf16,kernel,[[1048576]],0.021019,0.013308,1.5795
CUTENSOR_OP_COSH,bf16,kernel,[[2097152]],0.035962,0.024346,1.4771
CUTENSOR_OP_COSH,bf16,kernel,[[4194304]],0.062385,0.045404,1.3740
CUTENSOR_OP_COSH,bf16,kernel,[[8388608]],0.141500,0.073500,1.9252
CUTENSOR_OP_COSH,bf16,kernel,"[[128,128]]",0.007058,0.003750,1.8821
CUTENSOR_OP_COSH,bf16,kernel,"[[32,64,16]]",0.007712,0.004135,1.8651
CUTENSOR_OP_COSH,bf16,kernel,"[[64,256]]",0.006885,0.003731,1.8454
CUTENSOR_OP_COSH,bf16,kernel,"[[16,64,64]]",0.008000,0.004288,1.8655
CUTENSOR_OP_COSH,bf16,kernel,"[[256,512]]",0.008462,0.004692,1.8033
CUTENSOR_OP_COSH,bf16,kernel,"[[128,1024]]",0.008481,0.004615,1.8375
CUTENSOR_OP_COSH,bf16,kernel,"[[64,64,64]]",0.010346,0.005962,1.7355
CUTENSOR_OP_COSH,bf16,kernel,"[[128,128,64]]",0.021346,0.013673,1.5612
CUTENSOR_OP_COSH,fp32,kernel,[[1024]],0.006558,0.003442,1.9050
CUTENSOR_OP_COSH,fp32,kernel,[[2048]],0.006962,0.003558,1.9568
CUTENSOR_OP_COSH,fp32,kernel,[[4096]],0.007096,0.003865,1.8358
CUTENSOR_OP_COSH,fp32,kernel,[[8192]],0.007346,0.003904,1.8818
CUTENSOR_OP_COSH,fp32,kernel,[[16384]],0.007788,0.004269,1.8243
CUTENSOR_OP_COSH,fp32,kernel,[[32768]],0.008577,0.004885,1.7559
CUTENSOR_OP_COSH,fp32,kernel,[[65536]],0.008750,0.005154,1.6978
CUTENSOR_OP_COSH,fp32,kernel,[[131072]],0.009904,0.006135,1.6144
CUTENSOR_OP_COSH,fp32,kernel,[[262144]],0.012904,0.008500,1.5181
CUTENSOR_OP_COSH,fp32,kernel,[[524288]],0.020058,0.013846,1.4486
CUTENSOR_OP_COSH,fp32,kernel,[[1048576]],0.034385,0.024538,1.4013
CUTENSOR_OP_COSH,fp32,kernel,[[2097152]],0.057788,0.046000,1.2563
CUTENSOR_OP_COSH,fp32,kernel,[[4194304]],0.134808,0.073269,1.8399
